,外向性,協調性,勤勉性,神経症傾向,開放性
0,2.333333333333334,0.0,0.6666666666666661,5.333333333333334,4.666666666666666
1,2.0,0.6666666666666661,1.0,8.333333333333334,0.3333333333333339
2,1.0,1.0,4.0,3.333333333333334,2.0
3,2.333333333333333,6.0,7.666666666666666,1.333333333333334,3.333333333333334
4,2.666666666666667,2.333333333333334,2.666666666666666,7.0,6.666666666666667
5,7.0,6.0,7.333333333333334,4.333333333333334,6.333333333333334
6,7.0,2.666666666666666,1.333333333333334,8.0,2.333333333333333
7,3.666666666666667,0.0,0.0,5.666666666666666,2.0
8,5.333333333333334,4.0,1.666666666666666,3.0,5.0
9,2.0,0.0,1.0,2.0,0.6666666666666661
10,3.0,1.0,0.6666666666666661,5.0,0.0
11,3.666666666666666,2.0,0.0,7.0,2.0
12,3.333333333333333,1.0,0.0,1.0,5.0
13,5.333333333333334,0.3333333333333339,2.666666666666667,0.6666666666666661,1.666666666666666
14,1.666666666666667,1.666666666666666,2.0,2.333333333333334,4.0
15,1.666666666666667,1.0,5.0,6.666666666666666,2.333333333333334
16,1.333333333333333,2.0,2.0,2.666666666666666,3.333333333333334
17,0.666666666666667,3.0,5.666666666666666,0.3333333333333339,4.0
18,1.666666666666667,1.333333333333334,0.3333333333333339,0.0,2.333333333333333
19,2.0,8.0,6.0,0.3333333333333339,4.0
20,1.0,2.0,2.0,1.333333333333334,5.0
21,1.0,0.0,4.0,2.0,1.0
22,2.666666666666666,2.0,1.0,2.666666666666666,5.666666666666666
23,1.0,3.333333333333334,5.333333333333334,0.3333333333333339,4.0
24,0.33333333333333304,0.6666666666666661,0.6666666666666661,1.666666666666666,2.666666666666666
25,3.0,2.0,1.0,3.0,0.6666666666666661
26,1.0,0.0,3.0,0.0,3.0
27,5.0,1.666666666666666,0.3333333333333339,1.666666666666666,6.0
28,0.0,1.333333333333334,2.0,6.333333333333334,2.0
average,2.574712643678161,1.9655172413793103,2.448275862068965,3.2183908045977017,3.172413793103449
