id,correlation,pvalue
ave,0.639946343395287,0.1056777565027315
01,0.7659609850368815,0.009787039903408316
02,0.7631672440718629,0.010225241489068839
03,0.5349568784384567,0.11108833030248288
04,0.5015501596686753,0.13968714765412413
05,0.4573255749893281,0.1838821504940722
06,0.36474332620803873,0.3000669694646655
07,0.018293022999573125,0.9599974002377396
08,0.861176742078861,0.001369559338138642
09,0.7112494861056755,0.02109092598554883
10,0.8145934285312865,0.00410613152183107
11,0.7829075663120787,0.007407910595157625
12,0.597572084652722,0.06808978684116411
13,0.5167197121280549,0.12619736664661982
14,0.7173285415424762,0.01952834313830294
15,0.8693049274624923,0.00108698503512782
16,0.7477238187264794,0.012899731006897753
17,0.9024390243902439,0.0003518110418560849
18,0.6768418509842056,0.031586863601034444
19,0.6504589317376691,0.041705451082804046
20,0.734693888355164,0.015508583698813796
21,0.5957474328064633,0.06915584415208557
22,0.7538028741632801,0.011794786289983684
23,0.9387209722839687,5.726986651435884e-05
24,0.350609756097561,0.3205710338041947
25,0.9354244686369761,7.033835664326542e-05
26,0.49848254581765294,0.14251791767625302
27,0.47416632407045034,0.166191928081555
28,0.4255338805760452,0.22017919518735934
29,0.5969485095907019,0.06845289608576557
