id,correlation,pvalue
ave,0.3726116693738043,0.4358674092034303
01,0.4103913408340617,0.49253578170279744
02,0.9746794344808964,0.004818230468198535
03,0.05129891760425771,0.934712848108234
04,-0.15789473684210528,0.7998006663544925
05,-0.20519567041703085,0.7405819415910722
06,0.3,0.623837664781073
07,-0.7,0.1881204043741873
08,0.6668859288553503,0.21889398131323148
09,-0.20519567041703085,0.7405819415910722
10,0.8999999999999998,0.03738607346849875
11,0.15389675281277312,0.8048288166080632
12,-0.5526315789473686,0.33403471071151875
13,0.49999999999999994,0.3910022189557703
14,0.30779350562554625,0.614384002810333
15,0.39999999999999997,0.5046315754686912
16,0.05270462766947299,0.9329254642331789
17,0.9733285267845754,0.005207858944662772
18,0.7,0.1881204043741873
19,0.9486832980505137,0.013846832988859099
20,0.3,0.623837664781073
21,0.36842105263157904,0.5417509057946895
22,0.20519567041703085,0.7405819415910722
23,0.8720815992723809,0.05385421772754213
24,0.46169025843831935,0.43376615616902764
25,0.9746794344808963,0.004818230468198565
26,0.9999999999999999,1.4042654220543608e-24
27,0.6668859288553503,0.21889398131323148
28,0.07894736842105264,0.8995856035631706
29,0.35909242322980395,0.5528147466433508
