id,correlation,pvalue
ave,0.3785237971449994,0.3972826979519025
01,0.5526315789473686,0.33403471071151875
02,0.7,0.1881204043741873
03,0.05129891760425771,0.934712848108234
04,0.15389675281277312,0.8048288166080632
05,-0.5642880936468347,0.3217233358243003
06,-0.09999999999999999,0.8728885715695384
07,-0.8207826816681233,0.08858700531354384
08,0.7631578947368421,0.13333911953180624
09,-0.07894736842105264,0.8995856035631706
10,0.8207826816681233,0.08858700531354384
11,0.26315789473684215,0.6688454650582101
12,-0.6308932681440449,0.2537575415179103
13,0.49999999999999994,0.3910022189557703
14,0.30779350562554625,0.614384002810333
15,0.39999999999999997,0.5046315754686912
16,0.05270462766947299,0.9329254642331789
17,0.9733285267845754,0.005207858944662772
18,0.7,0.1881204043741873
19,0.9486832980505137,0.013846832988859099
20,0.46169025843831935,0.43376615616902764
21,0.5789473684210528,0.30640882152092674
22,0.20519567041703085,0.7405819415910722
23,0.8720815992723809,0.05385421772754213
24,0.605263157894737,0.27940925808015626
25,0.9746794344808963,0.004818230468198565
26,0.9999999999999999,1.4042654220543608e-24
27,0.6842105263157895,0.20263069030420378
28,0.10259783520851543,0.8695979205185651
29,0.5000000000000001,0.3910022189557704
