id,accuracy
origin_ave,0.14596411888964925
binary_ave,0.012991778485218132
origin_01,0.16393442622950818
binary_01,0.0
origin_02,0.2807017543859649
binary_02,0.08771929824561403
origin_03,0.21311475409836064
binary_03,0.0
origin_04,0.17543859649122806
binary_04,0.0
origin_05,0.12280701754385964
binary_05,0.0
origin_06,0.13114754098360656
binary_06,0.01639344262295082
origin_07,0.16393442622950818
binary_07,0.0
origin_08,0.10526315789473684
binary_08,0.0
origin_09,0.15789473684210525
binary_09,0.0
origin_10,0.11475409836065574
binary_10,0.0
origin_11,0.14754098360655737
binary_11,0.0
origin_12,0.12280701754385964
binary_12,0.0
origin_13,0.14035087719298245
binary_13,0.08771929824561403
origin_14,0.11475409836065574
binary_14,0.01639344262295082
origin_15,0.08771929824561403
binary_15,0.03508771929824561
origin_16,0.19298245614035087
binary_16,0.0
origin_17,0.11475409836065574
binary_17,0.01639344262295082
origin_18,0.19298245614035087
binary_18,0.03508771929824561
origin_19,0.09836065573770492
binary_19,0.0
origin_20,0.14754098360655737
binary_20,0.03278688524590164
origin_21,0.11475409836065574
binary_21,0.0
origin_22,0.12280701754385964
binary_22,0.0
origin_23,0.18032786885245902
binary_23,0.0
origin_24,0.04918032786885246
binary_24,0.0
origin_25,0.21052631578947367
binary_25,0.0
origin_26,0.14035087719298245
binary_26,0.0
origin_27,0.11475409836065574
binary_27,0.0
origin_28,0.11475409836065574
binary_28,0.04918032786885246
origin_29,0.19672131147540983
binary_29,0.0
