id,accuracy
origin_ave,0.1329227534636478
binary_ave,0.009966975097438338
origin_01,0.21311475409836064
binary_01,0.0
origin_02,0.19672131147540983
binary_02,0.01639344262295082
origin_03,0.2459016393442623
binary_03,0.01639344262295082
origin_04,0.18032786885245902
binary_04,0.0
origin_05,0.09836065573770492
binary_05,0.0
origin_06,0.12280701754385964
binary_06,0.03508771929824561
origin_07,0.09836065573770492
binary_07,0.0
origin_08,0.12280701754385964
binary_08,0.0
origin_09,0.13114754098360656
binary_09,0.0
origin_10,0.08196721311475409
binary_10,0.0
origin_11,0.15789473684210525
binary_11,0.0
origin_12,0.13114754098360656
binary_12,0.01639344262295082
origin_13,0.09836065573770492
binary_13,0.04918032786885246
origin_14,0.07017543859649122
binary_14,0.017543859649122806
origin_15,0.12280701754385964
binary_15,0.03508771929824561
origin_16,0.18032786885245902
binary_16,0.0
origin_17,0.14035087719298245
binary_17,0.017543859649122806
origin_18,0.16393442622950818
binary_18,0.01639344262295082
origin_19,0.09836065573770492
binary_19,0.0
origin_20,0.16393442622950818
binary_20,0.01639344262295082
origin_21,0.03278688524590164
binary_21,0.0
origin_22,0.12280701754385964
binary_22,0.0
origin_23,0.21311475409836064
binary_23,0.0
origin_24,0.05263157894736842
binary_24,0.0
origin_25,0.21311475409836064
binary_25,0.0
origin_26,0.08196721311475409
binary_26,0.0
origin_27,0.08196721311475409
binary_27,0.0
origin_28,0.12280701754385964
binary_28,0.05263157894736842
origin_29,0.11475409836065574
binary_29,0.0
