id,correlation,pvalue
ave,0.5760977924904687,0.19169660094847252
01,0.9057792600832962,0.0003073228805889426
02,0.7447035204249629,0.013474778516613748
03,0.6727272727272726,0.03304122254543771
04,0.37310438707059995,0.28827491810026423
05,0.7798201602090334,0.0078069167298641514
06,0.20426829268292684,0.5713454841866097
07,0.15853953266296708,0.6617809752445742
08,0.8616404368553291,0.0013521446660422316
09,0.705170430668875,0.022737736615376807
10,0.7926829268292683,0.006239888459116227
11,0.8501886852920228,0.0018317500821556903
12,0.3902511573242267,0.2648874395842972
13,-0.04242424242424241,0.9073638178128159
14,0.4863244349440517,0.1540799651466363
15,0.27439024390243905,0.44295768818710995
16,0.5349568784384567,0.11108833030248288
17,0.8226338160636469,0.003474575381365159
18,0.6829395253173965,0.0295125778506635
19,0.8536585365853661,0.001675207940234205
20,0.5975948239018023,0.06807656955389532
21,0.6930123197952737,0.026292878178805087
22,0.8510677611520904,0.001791130030195046
23,0.9509918346667656,2.3783684647782402e-05
24,0.4620082131968491,0.17885658556184708
25,0.9108080352517924,0.000248326656324808
26,0.395138603392042,0.2584187252318781
27,0.11515151515151514,0.7514196523258485
28,0.18902439024390244,0.6009692305159781
29,0.4906832298136646,0.14987180553403398
