id,correlation,pvalue
ave,0.5379304301398975,0.22789271060887722
01,0.8997002046464956,0.00039167359562948317
02,0.609302880347697,0.06149202034414205
03,0.5167197121280549,0.12619736664661982
04,0.22086305214969312,0.5397480021642733
05,0.7622092916488802,0.010378624499792637
06,0.17021355223041806,0.6382593583672792
07,0.17073488132934914,0.6372155152698102
08,0.8616404368553291,0.0013521446660422316
09,0.6920731707317074,0.0265823833049584
10,0.480245379507251,0.16006700964682788
11,0.6605782590758164,0.03759926615332361
12,0.3048837166595521,0.3916799825200183
13,0.03039527718400323,0.9335717251179998
14,0.5106406566912542,0.1315019930659458
15,0.41337576970244394,0.23506197663269437
16,0.40121765882884264,0.2504960035253273
17,0.8875420937728943,0.0006096659573243208
18,0.7012325483169698,0.02385050232964144
19,0.8997002046464956,0.00039167359562948317
20,0.7161721936907482,0.019819191776395188
21,0.6930123197952737,0.026292878178805087
22,0.8231707317073171,0.003435058382810699
23,0.9019083851355777,0.00035929045438835643
24,0.4255338805760452,0.22017919518735934
25,0.8773666603699837,0.0008511884372885092
26,0.395138603392042,0.2584187252318781
27,0.18787878787878787,0.6032176100292089
28,0.0,1.0
29,0.3865321650581048,0.2698685825760245
