,AC,BE,CO,HE,PO,SE,SD,ST,TR,UN
0,0.31578947368421073,0.09356725146198852,0.739766081871345,0.12865497076023358,0.3157894736842115,0.038011695906432795,0.03801169590643272,0.42690058479532156,0.8157894736842106,0.6101364522417153
1,2.584795321637427,0.47368421052631526,0.7485380116959064,0.5847953216374271,1.0847953216374262,1.5263157894736845,0.35964912280701733,1.1403508771929822,0.195906432748538,0.9707602339181284
2,1.485380116959065,0.12573099415204614,0.20760233918128668,0.4035087719298239,0.8187134502923983,0.9035087719298243,0.4853801169590646,1.3742690058479536,1.0701754385964903,0.699805068226121
3,0.0,1.5,1.4444444444444449,0.3333333333333335,0.3333333333333335,0.9444444444444446,0.22222222222222188,0.4444444444444442,0.11111111111111105,0.6666666666666666
4,0.5906432748538013,0.020467836257309857,0.14619883040935633,0.7017543859649125,0.35380116959064345,0.9649122807017549,0.02046783625731008,0.7426900584795326,0.2426900584795324,0.553606237816764
5,1.105263157894737,0.1169590643274856,1.7280701754385968,0.994152046783626,0.2719298245614037,1.1725146198830412,0.5497076023391809,2.660818713450292,0.04970760233918148,0.04288499025341125
6,0.5730994152046787,0.9269005847953213,2.2046783625731,1.350877192982456,1.628654970760234,0.37134502923976564,1.4619883040935675,2.2397660818713447,0.42690058479532134,0.9083820662768027
7,1.8888888888888888,0.3333333333333335,0.3333333333333334,0.5555555555555551,0.16666666666666652,0.11111111111111127,0.5555555555555562,0.3333333333333337,1.6666666666666667,0.0740740740740741
8,0.2690058479532156,2.2865497076023393,0.5467836257309944,0.6023391812865495,1.2309941520467833,0.2134502923976609,0.17543859649122884,0.491228070175439,0.1578947368421052,1.4912280701754381
9,0.7719298245614035,0.8391812865497081,0.3391812865497075,0.6725146198830416,1.827485380116959,0.1169590643274856,0.005847953216374879,0.10526315789473695,0.2280701754385966,0.1910331384015593
10,0.5146198830409363,0.429824561403509,0.9590643274853807,0.48538011695906413,0.09649122807017507,0.4853801169590645,0.292397660818714,0.292397660818714,0.0964912280701749,0.003898635477582957
11,1.3742690058479532,0.7368421052631584,0.31871345029239795,1.1812865497076022,1.8742690058479532,0.45906432748538073,0.0146198830409352,0.07017543859649134,0.5146198830409356,0.2923976608187137
12,0.9824561403508769,2.9064327485380117,1.1491228070175439,2.0935672514619883,0.9269005847953218,0.9824561403508774,0.31578947368421073,0.09356725146198808,0.3508771929824562,1.4249512670565303
13,0.45029239766081885,1.2280701754385965,0.38304093567251507,1.2280701754385968,0.5497076023391816,0.7163742690058483,0.04970760233918181,1.2280701754385959,0.16081871345029258,0.5126705653021443
14,0.8304093567251462,0.7251461988304092,0.5584795321637425,0.608187134502925,0.22514619883040965,0.6637426900584795,1.3918128654970763,0.16374269005847947,0.6637426900584794,0.4600389863547757
15,0.15204678362573065,0.20760233918128623,0.6257309941520471,0.2923976608187133,1.0409356725146195,0.763157894736842,0.4853801169590636,0.5964912280701751,0.7368421052631582,1.21832358674464
16,0.5964912280701755,0.07017543859649145,0.04093567251461977,0.5964912280701755,1.0964912280701755,0.2631578947368419,0.292397660818713,0.9590643274853801,0.2923976608187133,0.7738791423001952
17,0.1461988304093571,1.3128654970760236,0.03508771929824572,1.257309941520468,0.4093567251461985,0.7573099415204678,1.52046783625731,0.4795321637426901,0.18713450292397626,0.26120857699805056
18,1.1520467836257313,0.20760233918128673,0.6812865497076024,0.1520467836257311,1.152046783625731,0.9035087719298247,0.9853801169590641,1.263157894736842,1.6812865497076024,0.3294346978557504
19,0.05263157894736836,0.7251461988304091,0.7251461988304093,0.27485380116959046,0.8859649122807021,0.6140350877192979,0.4473684210526314,0.16374269005847908,0.3304093567251463,0.20077972709551684
20,0.4385964912280702,1.2719298245614032,0.6725146198830411,1.1052631578947367,0.22807017543859676,0.283625730994152,0.22807017543859665,0.005847953216374435,0.2163742690058476,0.33918128654970775
21,0.39181286549707606,0.5584795321637426,0.11403508771929743,1.6081871345029248,0.10818713450292439,0.1140350877192979,1.3304093567251463,0.28070175438596434,1.1140350877192984,0.3918128654970757
22,0.2807017543859649,0.05263157894736814,0.3304093567251465,0.16374269005847886,0.22514619883040954,0.4970760233918131,0.3362573099415205,0.16374269005847963,0.002923976608187273,0.46588693957114996
23,0.964912280701754,1.1871345029239766,0.14619883040935688,0.4795321637426899,0.8684210526315792,0.6461988304093566,0.5204678362573096,0.6315789473684208,0.6461988304093567,0.3723196881091618
24,0.5321637426900584,0.2543859649122807,0.07894736842105288,0.865497076023392,0.25438596491227994,0.19005847953216387,0.023391812865497075,0.19883040935672536,1.2456140350877192,0.023391812865497297
25,1.9473684210526312,1.3859649122807018,0.7807017543859647,0.4970760233918132,1.5584795321637426,0.2251461988304094,0.7192982456140353,0.49707602339181295,0.725146198830409,1.1637426900584795
26,0.8771929824561403,1.1549707602339176,1.0438596491228072,0.32163742690058483,0.9561403508771928,1.4005847953216373,0.21052631578947378,1.2105263157894737,1.2339181286549707,0.1734892787524367
27,0.23391812865497125,1.3450292397660826,0.1228070175438597,0.09941520467836273,2.0994152046783623,1.5994152046783623,0.21052631578947378,1.5672514619883042,0.06725146198830434,1.196881091617934
28,1.7192982456140355,0.7748538011695907,0.4473684210526313,0.2807017543859649,0.22514619883040932,0.05847953216374269,0.16374269005847975,1.274853801169591,1.2807017543859645,0.35477582846003847
average,0.8007662835249042,0.8017745513208309,0.6086912684008873,0.6868320225851987,0.7866505343819318,0.6201855212744506,0.4624924379915307,0.7275660415406331,0.5693688243597499,0.5575048732943471
