,AC,BE,CO,HE,PO,SE,SD,ST,TR,UN
0,0.16374269005847975,0.058479532163742576,0.5584795321637426,1.1695906432748535,0.33040935672514693,0.3859649122807017,0.280701754385965,0.3859649122807016,1.0526315789473686,0.39181286549707595
1,2.625730994152047,0.6812865497076022,0.5964912280701754,0.40350877192982515,1.2368421052631584,1.3187134502923974,0.31871345029239717,0.625730994152047,0.1812865497076027,1.300194931773879
2,1.24561403508772,0.36549707602339143,0.24561403508771928,0.02339181286549763,0.6345029239766085,0.8099415204678357,0.3567251461988308,1.3567251461988308,0.9210526315789468,0.5321637426900587
3,0.4970760233918131,1.4970760233918132,1.5526315789473686,0.05847953216374224,0.4473684210526312,0.8918128654970761,0.3362573099415201,0.28070175438596445,0.052631578947368474,0.6510721247563352
4,0.16959064327485374,0.3859649122807014,1.7748538011695905,0.27485380116959046,1.2251461988304093,0.9473684210526321,0.7251461988304098,2.3918128654970765,0.5526315789473679,0.7192982456140348
5,1.6374269005847952,0.029239766081871288,1.6403508771929827,1.1929824561403508,0.029239766081870844,0.9181286549707603,0.5263157894736838,2.3040935672514617,0.026315789473684403,0.21442495126705632
6,0.8830409356725145,1.2280701754385965,2.116959064327485,1.2163742690058474,1.7163742690058479,0.39473684210526283,1.1608187134502925,2.883040935672514,0.39473684210526283,0.8947368421052628
7,1.5906432748538015,0.5350877192982457,0.35380116959064317,0.368421052631579,0.24269005847953218,0.03508771929824561,0.5906432748538015,0.076023391812865,1.3538011695906431,0.18713450292397638
8,0.2046783625730988,2.3508771929824563,0.426900584795322,0.42690058479532156,0.9064327485380117,0.3157894736842104,0.1286549707602349,0.6491228070175439,0.14912280701754355,1.3528265107212472
9,0.8596491228070173,0.7514619883040936,0.2514619883040936,0.6959064327485387,1.859649122807017,0.1403508771929829,0.1403508771929829,0.1929824561403508,0.02923976608187162,0.362573099415205
10,0.2690058479532167,0.11988304093567237,1.0467836257309944,0.6198830409356728,0.34210526315789425,0.3421052631578948,0.046783625730994816,0.38011695906432785,0.2865497076023388,0.23196881091617927
11,1.5146198830409359,0.7076023391812869,0.014619883040936088,1.1520467836257309,1.8479532163742687,0.5409356725146203,0.12573099415204703,0.2923976608187133,0.6520467836257311,0.2261208576998052
12,0.8362573099415201,2.6637426900584797,1.4473684210526314,1.7251461988304093,0.669590643274854,0.7251461988304094,0.39181286549707595,0.2748538011695909,0.16374269005847958,1.3489278752436649
13,0.35087719298245634,1.4064327485380115,0.017543859649122702,1.0175438596491229,0.871345029239766,0.7046783625730995,0.37134502923976664,1.0175438596491224,0.038011695906432774,0.3157894736842106
14,0.8304093567251466,0.5029239766081866,0.4473684210526311,0.4970760233918132,0.3362573099415205,0.6081871345029242,0.8362573099415207,0.2807017543859649,0.6081871345029242,0.2378167641325537
15,0.017543859649122417,0.18421052631578916,0.5935672514619886,0.5380116959064329,0.6842105263157892,0.7397660818713447,0.6286549707602332,0.35087719298245545,0.5935672514619885,0.982456140350878
16,0.9064327485380115,0.09356725146198852,0.31578947368421073,0.35087719298245656,1.0730994152046787,0.1842105263157893,0.20467836257309946,0.4269005847953218,0.03801169590643269,0.871345029239766
17,0.04678362573099415,1.5087719298245617,0.06432748538011679,1.3976608187134505,0.7134502923976607,0.730994152046784,0.7690058479532166,0.2865497076023393,0.15789473684210498,0.6023391812865495
18,0.4678362573099417,0.578947368421053,0.8099415204678357,0.690058479532164,0.8567251461988306,0.9766081871345029,0.9678362573099417,1.2456140350877194,1.5877192982456139,0.19883040935672489
19,0.280701754385965,0.5584795321637426,0.4473684210526314,0.05263157894736836,0.8859649122807016,0.6695906432748533,0.7251461988304095,0.27485380116959046,0.4415204678362573,0.23781676413255354
20,0.4970760233918128,1.2748538011695907,0.6140350877192987,1.163742690058479,0.0584795321637428,0.280701754385965,0.3362573099415206,0.05263157894736814,0.3859649122807014,0.6510721247563355
21,1.2046783625730995,0.6491228070175439,0.23976608187134602,1.4619883040935688,0.14912280701754344,0.1286549707602343,1.073099415204679,0.538011695906432,0.8157894736842105,0.1676413255360621
22,0.24561403508771906,0.19883040935672547,0.30994152046783685,0.1988304093567248,0.19005847953216337,0.5877192982456143,0.41228070175438575,0.08771929824561431,0.023391812865496908,0.5419103313840153
23,1.2339181286549705,1.3450292397660821,0.37719298245613997,0.43274853801169566,0.9327485380116958,0.7660818713450291,0.7894736842105265,0.7894736842105262,0.8216374269005847,0.30799220272904476
24,1.0526315789473681,0.16374269005847963,0.11403508771929816,0.8304093567251458,0.441520467836257,0.28070175438596495,0.058479532163742354,0.052631578947368585,1.114035087719298,0.16959064327485374
25,1.812865497076023,1.52046783625731,0.8684210526315788,0.18713450292397704,1.47953216374269,0.1315789473684209,0.46491228070175494,0.07602339181286571,0.5350877192982452,1.1130604288499026
26,0.5497076023391809,1.2163742690058474,0.9941520467836256,0.11695906432748626,1.005847953216375,1.2280701754385965,0.10526315789473639,0.9941520467836253,1.0058479532163747,0.32748538011695894
27,0.10526315789473639,1.2836257309941521,0.5058479532163749,0.10526315789473606,2.160818713450292,1.43859649122807,0.49415204678362556,1.1169590643274856,0.11695906432748526,1.3021442495126707
28,1.7017543859649131,0.7017543859649127,0.7982456140350873,0.0350877192982455,0.076023391812865,0.1871345029239765,0.20175438596491246,1.5906432748538017,1.3538011695906425,0.26120857699804995
average,0.820729985884251,0.8469449485783425,0.6739261947973382,0.6346037507562009,0.8070175438596491,0.6003226456946964,0.46783625730994166,0.7336156483161926,0.532869530147207,0.5759225650332728
