id,accuracy
origin_ave,0.15245009074410162
binary_ave,0.013309134906231094
origin_01,0.2982456140350877
binary_01,0.0
origin_02,0.12280701754385964
binary_02,0.0
origin_03,0.19298245614035087
binary_03,0.0
origin_04,0.10526315789473684
binary_04,0.0
origin_05,0.08771929824561403
binary_05,0.0
origin_06,0.10526315789473684
binary_06,0.017543859649122806
origin_07,0.07017543859649122
binary_07,0.0
origin_08,0.22807017543859648
binary_08,0.017543859649122806
origin_09,0.07017543859649122
binary_09,0.017543859649122806
origin_10,0.22807017543859648
binary_10,0.0
origin_11,0.21052631578947367
binary_11,0.0
origin_12,0.15789473684210525
binary_12,0.0
origin_13,0.12280701754385964
binary_13,0.07017543859649122
origin_14,0.19298245614035087
binary_14,0.0
origin_15,0.10526315789473684
binary_15,0.0
origin_16,0.15789473684210525
binary_16,0.0
origin_17,0.24561403508771928
binary_17,0.03508771929824561
origin_18,0.15789473684210525
binary_18,0.03508771929824561
origin_19,0.07017543859649122
binary_19,0.03508771929824561
origin_20,0.05263157894736842
binary_20,0.017543859649122806
origin_21,0.21052631578947367
binary_21,0.0
origin_22,0.12280701754385964
binary_22,0.0
origin_23,0.22807017543859648
binary_23,0.017543859649122806
origin_24,0.12280701754385964
binary_24,0.0
origin_25,0.22807017543859648
binary_25,0.0
origin_26,0.10526315789473684
binary_26,0.0
origin_27,0.15789473684210525
binary_27,0.03508771929824561
origin_28,0.03508771929824561
binary_28,0.08771929824561403
origin_29,0.22807017543859648
binary_29,0.0
