id,accuracy
origin_ave,0.16394434361766488
binary_ave,0.013309134906231094
origin_01,0.3684210526315789
binary_01,0.0
origin_02,0.12280701754385964
binary_02,0.017543859649122806
origin_03,0.2631578947368421
binary_03,0.0
origin_04,0.08771929824561403
binary_04,0.0
origin_05,0.07017543859649122
binary_05,0.0
origin_06,0.08771929824561403
binary_06,0.03508771929824561
origin_07,0.12280701754385964
binary_07,0.0
origin_08,0.24561403508771928
binary_08,0.0
origin_09,0.07017543859649122
binary_09,0.017543859649122806
origin_10,0.22807017543859648
binary_10,0.0
origin_11,0.15789473684210525
binary_11,0.0
origin_12,0.24561403508771928
binary_12,0.017543859649122806
origin_13,0.10526315789473684
binary_13,0.07017543859649122
origin_14,0.17543859649122806
binary_14,0.0
origin_15,0.05263157894736842
binary_15,0.0
origin_16,0.17543859649122806
binary_16,0.0
origin_17,0.2807017543859649
binary_17,0.03508771929824561
origin_18,0.15789473684210525
binary_18,0.017543859649122806
origin_19,0.07017543859649122
binary_19,0.017543859649122806
origin_20,0.08771929824561403
binary_20,0.017543859649122806
origin_21,0.15789473684210525
binary_21,0.0
origin_22,0.12280701754385964
binary_22,0.0
origin_23,0.2631578947368421
binary_23,0.017543859649122806
origin_24,0.15789473684210525
binary_24,0.017543859649122806
origin_25,0.24561403508771928
binary_25,0.0
origin_26,0.10526315789473684
binary_26,0.0
origin_27,0.15789473684210525
binary_27,0.017543859649122806
origin_28,0.10526315789473684
binary_28,0.07017543859649122
origin_29,0.2631578947368421
binary_29,0.017543859649122806
