id,correlation,pvalue
ave,0.4519504506685918,0.38280814449348627
01,0.6668859288553503,0.21889398131323148
02,0.8999999999999998,0.03738607346849875
03,0.20519567041703085,0.7405819415910722
04,0.15389675281277312,0.8048288166080632
05,-0.5642880936468347,0.3217233358243003
06,-0.09999999999999999,0.8728885715695384
07,-0.7,0.1881204043741873
08,0.7631578947368421,0.13333911953180624
09,0.05129891760425771,0.934712848108234
10,0.8999999999999998,0.03738607346849875
11,0.8720815992723809,0.05385421772754213
12,0.35909242322980395,0.5528147466433508
13,0.19999999999999998,0.7470600781046621
14,0.5642880936468347,0.3217233358243003
15,0.3,0.623837664781073
16,0.08111071056538127,0.896839986156289
17,0.9733285267845754,0.005207858944662772
18,0.8999999999999998,0.03738607346849875
19,0.9733285267845754,0.005207858944662772
20,0.46169025843831935,0.43376615616902764
21,0.5642880936468347,0.3217233358243003
22,0.20519567041703085,0.7405819415910722
23,0.9210526315789475,0.0263105196855779
24,0.6315789473684211,0.253080424554416
25,0.9746794344808963,0.004818230468198565
26,0.8999999999999998,0.03738607346849875
27,0.7105263157894738,0.17861891923981477
28,-0.05129891760425771,0.934712848108234
29,0.2894736842105264,0.6366447547494906
