id,correlation,pvalue
ave,0.49240844140024265,0.2469152661536134
01,0.6565379871744698,0.039204386332556816
02,0.5846845821518305,0.07585271082483269
03,0.41945482513924454,0.2275515102242154
04,0.3486385256233475,0.32348723178461464
05,0.8414790579803637,0.0022710431981311013
06,0.13373921960961418,0.7126222235089889
07,0.030488371665955208,0.9333686465687113
08,0.726239796778063,0.01738531000782406
09,0.7294866524160775,0.016646879953377037
10,0.6189024390243902,0.05641707952851948
11,0.8807710121010884,0.0007637917374575819
12,0.3536651113250804,0.31607819910741486
13,0.006079055436800646,0.9867025576451146
14,0.5653521556224601,0.08853684802469874
15,0.37690143708164003,0.2830033650057079
16,0.5701219512195123,0.08528960481360967
17,0.6402439024390244,0.04614556778835694
18,0.36586045999146244,0.29847680928666415
19,0.6139845991168652,0.058980962369036986
20,0.6544332114760285,0.04005857526993297
21,0.4054878048780488,0.24501268131281395
22,0.6990913752320743,0.024470990757150347
23,0.766928898924811,0.00963835937752333
24,0.09146341463414635,0.8015891449789201
25,0.8650957979871867,0.0012273924762891601
26,0.3890595479552414,0.266477921200522
27,0.309090909090909,0.38484123026128353
28,0.16413449679361744,0.6504731396988412
29,0.4724282017376836,0.1679685554116792
