id,correlation,pvalue
ave,0.5159660289892402,0.21706981742388737
01,0.5835893219328621,0.07653771742823341
02,0.4259583885551355,0.2196695448609032
03,0.41818181818181815,0.22911284098281892
04,0.4465019714123573,0.1958134982639468
05,0.8719674296463189,0.0010044418544527152
06,0.0030581182753295424,0.9933104288344048
07,0.09785978481054536,0.7879700011555801
08,0.7802194122734603,0.007754481785524021
09,0.5957474328064633,0.06915584415208557
10,0.6686960980480711,0.03450954165178536
11,0.6911605858848819,0.026865783149450442
12,0.48171627232209224,0.15860574908020678
13,-0.03647433262080388,0.9203184602756677
14,0.5076476337047041,0.13416340889127137
15,0.29179466096643103,0.41332660286085826
16,0.5045616012544536,0.13694196641606443
17,0.9118583155200968,0.0002371436370050654
18,0.46789209612542,0.17265841030454984
19,0.6504589317376691,0.041705451082804046
20,0.6780998260854648,0.031151058041082057
21,0.6079055436800646,0.06225488170893078
22,0.6990913752320743,0.024470990757150347
23,0.73011631177642,0.01650624549810054
24,0.23170731707317077,0.5194872851153914
25,0.8528249356043898,0.0017118949981063186
26,0.6097560975609757,0.061245917834328235
27,0.32121212121212117,0.36546831043867045
28,0.21341463414634151,0.5538435394830696
29,0.6564911374796382,0.03922326475029202
