,外向性,協調性,勤勉性,神経症傾向,開放性
0,0.3333333333333339,0.0,1.666666666666666,1.666666666666667,2.0
1,0.0,0.6666666666666661,0.0,2.666666666666667,0.3333333333333339
2,0.0,0.6666666666666661,3.0,1.666666666666666,3.333333333333334
3,4.0,7.0,7.666666666666666,5.0,0.33333333333333304
4,1.666666666666667,2.666666666666666,4.333333333333334,7.0,7.0
5,7.666666666666666,6.666666666666666,9.0,7.333333333333333,7.666666666666666
6,9.0,4.0,1.0,7.333333333333334,4.666666666666667
7,1.333333333333333,1.333333333333334,3.0,0.666666666666667,3.0
8,6.0,3.0,3.666666666666666,2.333333333333333,7.666666666666667
9,0.6666666666666661,0.6666666666666661,1.666666666666666,1.0,0.0
10,5.0,1.0,0.6666666666666661,0.33333333333333304,3.0
11,2.333333333333334,1.333333333333334,0.6666666666666661,6.333333333333334,0.6666666666666661
12,3.333333333333333,2.0,1.666666666666667,2.666666666666666,4.666666666666666
13,6.0,0.6666666666666661,3.666666666666667,4.666666666666667,1.333333333333334
14,5.333333333333334,1.666666666666666,0.6666666666666661,0.3333333333333339,5.666666666666666
15,1.333333333333333,0.3333333333333339,4.333333333333334,5.666666666666666,1.666666666666667
16,1.0,3.666666666666666,4.0,1.0,3.333333333333334
17,2.333333333333334,4.0,6.0,0.6666666666666661,5.333333333333334
18,2.333333333333333,2.0,0.0,2.0,0.33333333333333304
19,3.666666666666666,8.0,5.666666666666667,1.0,3.333333333333334
20,2.0,2.333333333333334,3.0,2.0,2.666666666666667
21,1.0,0.3333333333333339,2.333333333333334,2.0,1.666666666666666
22,4.0,2.0,2.333333333333334,1.666666666666666,4.333333333333334
23,2.0,5.0,5.333333333333334,1.333333333333334,4.333333333333334
24,0.6666666666666661,0.3333333333333339,1.0,3.333333333333333,3.0
25,2.0,3.0,0.3333333333333339,3.333333333333334,5.0
26,0.33333333333333304,0.3333333333333339,4.333333333333334,1.0,4.0
27,7.0,4.0,1.0,5.666666666666667,3.0
28,0.6666666666666661,2.0,3.0,1.333333333333333,2.0
average,2.8620689655172415,2.4367816091954024,2.9310344827586206,2.862068965517241,3.2873563218390807
