,外向性,協調性,勤勉性,神経症傾向,開放性
0,0.3333333333333339,0.0,0.6666666666666661,2.0,1.666666666666667
1,0.3333333333333339,0.6666666666666661,0.0,3.0,1.333333333333334
2,0.0,0.3333333333333339,4.0,2.0,2.666666666666666
3,3.0,7.666666666666666,8.666666666666666,4.666666666666667,0.666666666666667
4,2.333333333333333,3.0,3.0,7.0,7.333333333333333
5,8.666666666666666,6.666666666666666,9.0,7.666666666666667,7.666666666666666
6,8.333333333333334,3.666666666666666,1.0,7.666666666666666,4.666666666666667
7,1.333333333333333,1.666666666666666,3.0,1.0,2.666666666666666
8,3.333333333333333,2.666666666666666,3.333333333333334,0.666666666666667,7.666666666666667
9,0.3333333333333339,1.0,1.666666666666666,1.3333333333333335,0.666666666666667
10,4.0,1.0,0.0,1.333333333333333,4.333333333333333
11,2.666666666666666,2.333333333333334,0.3333333333333339,6.666666666666666,1.666666666666666
12,3.666666666666667,1.666666666666667,1.0,1.333333333333334,5.0
13,6.0,0.0,4.0,4.0,1.333333333333334
14,3.333333333333334,2.0,0.3333333333333339,1.0,4.666666666666666
15,1.666666666666667,0.3333333333333339,3.666666666666666,6.666666666666666,0.666666666666667
16,0.666666666666667,3.666666666666666,3.333333333333334,2.333333333333334,0.666666666666667
17,2.0,3.333333333333334,6.0,0.3333333333333339,3.666666666666666
18,1.0,1.333333333333334,1.0,2.666666666666667,0.3333333333333335
19,2.333333333333334,7.333333333333334,5.333333333333333,1.333333333333334,3.0
20,0.666666666666667,1.666666666666666,3.666666666666666,4.0,2.666666666666667
21,2.666666666666667,0.6666666666666661,2.0,3.666666666666667,1.333333333333334
22,1.666666666666667,2.0,2.666666666666666,1.666666666666666,3.0
23,1.666666666666667,4.333333333333334,5.333333333333334,0.6666666666666661,4.0
24,0.666666666666667,0.3333333333333339,1.0,2.666666666666667,3.0
25,1.0,3.0,0.3333333333333339,1.0,3.666666666666666
26,1.0,0.3333333333333339,5.0,1.0,3.666666666666666
27,7.0,4.0,1.333333333333334,6.0,3.0
28,0.3333333333333339,2.0,3.0,1.0,3.0
average,2.482758620689655,2.367816091954023,2.8850574712643673,2.977011494252874,3.091954022988506
