,外向性,協調性,勤勉性,神経症傾向,開放性
0,2.333333333333334,1.0,2.0,5.0,1.333333333333333
1,2.0,0.6666666666666661,0.6666666666666661,5.333333333333333,3.0
2,1.666666666666667,0.6666666666666661,5.666666666666666,3.0,2.0
3,2.333333333333333,6.666666666666666,8.333333333333334,1.666666666666666,0.666666666666667
4,2.0,4.333333333333334,1.666666666666666,7.666666666666666,8.666666666666668
5,6.333333333333334,5.0,7.333333333333334,5.666666666666667,6.666666666666666
6,7.666666666666667,4.0,1.333333333333334,8.0,3.0
7,4.0,0.6666666666666661,1.666666666666666,4.0,1.333333333333334
8,3.666666666666667,3.0,3.0,1.0,6.666666666666667
9,1.0,0.0,1.0,0.666666666666667,2.0
10,1.333333333333334,0.0,0.3333333333333339,1.333333333333333,3.0
11,3.666666666666666,0.6666666666666661,0.3333333333333339,7.0,2.666666666666667
12,4.0,1.333333333333333,1.666666666666667,0.6666666666666661,3.333333333333333
13,4.333333333333334,1.0,2.0,3.666666666666667,0.6666666666666661
14,0.666666666666667,1.333333333333334,5.0,2.333333333333334,5.0
15,3.0,2.0,4.666666666666666,7.0,1.333333333333333
16,0.0,2.0,2.0,1.666666666666666,0.666666666666667
17,1.333333333333333,2.333333333333334,2.333333333333333,0.3333333333333339,1.333333333333334
18,0.33333333333333304,0.6666666666666661,2.0,0.6666666666666661,0.33333333333333304
19,1.333333333333333,8.0,4.666666666666667,1.0,3.333333333333334
20,0.0,1.0,1.666666666666666,1.333333333333334,2.333333333333333
21,2.0,1.0,4.333333333333333,3.0,1.0
22,2.333333333333334,1.0,1.0,2.0,2.333333333333333
23,1.0,3.0,3.333333333333334,1.0,5.333333333333334
24,0.33333333333333304,0.0,1.0,1.666666666666667,1.0
25,2.0,2.0,0.6666666666666661,2.0,2.666666666666666
26,0.33333333333333304,1.0,3.0,0.6666666666666661,1.333333333333334
27,5.333333333333334,3.333333333333334,2.0,3.666666666666666,3.666666666666667
28,1.0,2.0,3.0,3.666666666666667,3.666666666666666
average,2.3218390804597706,2.057471264367816,2.67816091954023,2.9885057471264376,2.770114942528736
